tree_id,lon,lat,x,y
116,-73.12010403050337,7.141490232125213,1105761.174656663,1281583.444509451
117,-73.11988542027503,7.141490782348413,1105785.325857776,1281583.5555494325
118,-73.11972409628618,7.141493459232888,1105803.147778597,1281583.888669377
119,-73.11737669710237,7.141489082133217,1106062.4817105448,1281583.9441893676
120,-73.1197969719281,7.141490598756428,1105795.097378226,1281583.5555494325
121,-73.12236353257596,7.14147182519319,1105511.556725163,1281580.8905898773
122,-73.12047942930533,7.141493018811212,1105719.7012147524,1281583.666589414
123,-73.11961420449694,7.141413419532464,1105815.3066591572,1281575.0609908502
124,-73.1192957473625,7.141095519887208,1105850.5618607814,1281539.972356706
125,-73.11701191813563,7.1414546916094395,1106102.7892324019,1281580.2243499884
126,-73.11911717374974,7.141417908899283,1105870.2159416869,1281575.6717107482
127,-73.11685450600328,7.141268639016716,1106120.222513205,1281559.6819534167
128,-73.12283271680506,7.141324718088677,1105459.7565627766,1281564.5121926107
129,-73.11864328742136,7.141409394887299,1105922.571304099,1281574.8389108873
130,-73.12330136906448,7.141434110931044,1105407.95640039,1281576.5045106092
131,-73.12049564023799,7.14143080944642,1105717.9245746706,1281576.7821105628
132,-73.12242594848847,7.141423766255292,1105504.672244846,1281575.5606707667
133,-73.11990834061987,7.141102313248953,1105782.8829776633,1281540.5830766042
134,-73.1180040998123,7.141382968077002,1105993.1927473526,1281572.0629113505
135,-73.11971676906215,7.141392048203956,1105803.9805786354,1281572.6736312485
136,-73.12009378396496,7.141342634754818,1105762.340576717,1281567.121632175
137,-73.11913153366406,7.141037955450621,1105868.7169016178,1281533.6430777623
138,-73.11968072039957,7.141327220593364,1105807.9780188196,1281565.5115524437
139,-73.12056406582259,7.1409094153273,1105710.4848943278,1281519.09684019
140,-73.1213154975316,7.141335129129934,1105627.3714504987,1281566.0112323605
141,-73.12307797257414,7.141319201978412,1105432.6628015283,1281563.8459527218
142,-73.12061750403383,7.141312097776636,1105704.4887340516,1281563.6238727588
143,-73.11937776175564,7.1412894465529675,1105841.4565803618,1281561.4030731295
